Sample Number, Language, Time, Number of Partitioning Stages, Number of Exchanges, Number of Compares
1,c++,0.077,30859,437393,1360848
2,c++,0.074,30839,435295,1414915
3,c++,0.076,30773,433529,1424629
4,c++,0.074,30969,436221,1426808
5,c++,0.074,30763,434135,1454034
6,c++,0.074,30705,433279,1477788
7,c++,0.074,30915,430584,1529826
8,c++,0.074,30965,431882,1487867
9,c++,0.074,30863,435925,1431388
10,c++,0.074,30823,429544,1576980
11,c++,0.074,30945,436046,1455697
12,c++,0.074,30745,433673,1612709
13,c++,0.074,30875,428495,1531005
14,c++,0.073,30881,432301,1426669
15,c++,0.074,31031,430252,1555059
16,c++,0.074,30669,433156,1439398
17,c++,0.074,30739,432894,1508725
18,c++,0.074,30871,434794,1449988
19,c++,0.074,30737,435508,1387222
20,c++,0.074,31005,433858,1435861
21,c++,0.116,31035,434084,1442855
22,c++,0.105,30851,431036,1562885
23,c++,0.097,30885,434006,1501166
24,c++,0.113,31047,429659,1521462
25,c++,0.112,30873,432257,1529628
26,c++,0.126,30761,434258,1423555
27,c++,0.115,30983,432664,1470684
28,c++,0.089,30829,432915,1527809
29,c++,0.076,30763,435419,1426422
30,c++,0.095,30941,434965,1439914
31,c++,0.103,30993,435815,1422028
32,c++,0.108,31105,434713,1413539
33,c++,0.110,30761,431043,1491344
34,c++,0.121,30799,426204,1682859
35,c++,0.142,30867,434505,1409367
36,c++,0.183,30935,432622,1515893
37,c++,0.152,30899,435747,1414879
38,c++,0.137,30795,435509,1433445
39,c++,0.090,30817,432696,1495684
40,c++,0.101,30695,431695,1510161
41,c++,0.101,30839,433663,1479922
42,c++,0.087,30843,433211,1477706
43,c++,0.128,30787,432911,1457581
44,c++,0.139,30937,430022,1538676
45,c++,0.131,31073,432749,1458570
